     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320    5781    22758    5781                    
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        0       23       23       25       25    -0.224149     0.000000     0.000000     0.000000
      -1        0        0       23       23       27       27     0.758554     0.000000     0.000000     0.000000
      -1        0        0       23       23       29       29     0.192616     0.000000     0.000000     0.000000
      -1        0        0       25       25       25       25     1.109334     0.000000     0.000000     0.000000
      -1        0        0       25       25       27       27    -1.769844     0.000000     0.000000     0.000000
      -1        0        0       25       25       29       29     0.295294     0.000000     0.000000     0.000000
      -1        0        0       27       27       27       27     2.976095     0.000000     0.000000     0.000000
      -1        0        0       27       27       29       29     0.341161     0.000000     0.000000     0.000000
      -1        0        0       29       29       29       29    -0.563016     0.000000     0.000000     0.000000
      -1        0        2        1        9        1        9     0.116001     0.000000     0.000000     0.000000
      -1        0        2        1        9        1       11     1.850246     0.000000     0.000000     0.000000
      -1        0        2        1        9        1       27     0.547848     0.000000     0.000000     0.000000
      -1        0        2        1        9        1       29     1.282766     0.000000     0.000000     0.000000
      -1        0        2        1        9        3        5    -1.803240     0.000000     0.000000     0.000000
      -1        0        2        1        9        3       15    -1.575902     0.000000     0.000000     0.000000
      -1        0        2        1        9        3       17    -0.887546     0.000000     0.000000     0.000000
      -1        0        2        1        9        3       19     0.212142     0.000000     0.000000     0.000000
      -1        0        2        1        9        5       17    -0.866195     0.000000     0.000000     0.000000
      -1        0        2        1        9        5       19     0.579205     0.000000     0.000000     0.000000
      -1        0        2        1        9        7        9     0.881321     0.000000     0.000000     0.000000
      -1        0        2        1        9        7       23     0.446221     0.000000     0.000000     0.000000
      -1        0        2        1        9        7       25     0.325458     0.000000     0.000000     0.000000
      -1        0        2        1        9        7       27     0.164536     0.000000     0.000000     0.000000
      -1        0        2        1        9        9       11    -0.074628     0.000000     0.000000     0.000000
      -1        0        2        1        9        9       25     0.573397     0.000000     0.000000     0.000000
