7002 :    9  10  18  19      1    0.179605	   9  10  18  19      1    3.161029
7045 :    0  11   3  16      1   -3.734023	   0  11   3  16      1    0.348460
7046 :    0  11   5  16      1   -5.653244	   0  11   5  16      1   -2.001760
7052 :    0  11   3  18      1    4.338394	   0  11   3  18      1    0.686910
7053 :    0  11   5  18      1   -1.161146	   0  11   5  18      1   -2.452140
7097 :    8  11   2  15      1   -2.732170	   8  11   2  15      1    2.287790
7100 :    8  11   3  16      1   -0.035363	   8  11   3  16      1   -1.526075
7101 :    8  11   5  16      1   -1.337835	   8  11   5  16      1    0.328831
7102 :    8  11  15  16      1   -9.093874	   8  11  15  16      1   -1.156620
7103 :    8  11   2  17      1    1.870027	   8  11   2  17      1    2.466312
7104 :    8  11   4  17      1   -1.543045	   8  11   4  17      1   -2.209713
7106 :    8  11  16  17      1    0.222972	   8  11  16  17      1    1.165782
7107 :    8  11   3  18      1   -0.231780	   8  11   3  18      1   -1.898446
7108 :    8  11   5  18      1   -0.726187	   8  11   5  18      1    3.987860
7109 :    8  11  17  18      1    0.252825	   8  11  17  18      1   -0.801267
7110 :    8  11   2  19      1    1.905975	   8  11   2  19      1    2.572643
7111 :    8  11   4  19      1   -5.395597	   8  11   4  19      1   -7.281214
7112 :    8  11  16  19      1    0.008245	   8  11  16  19      1    1.062337
7113 :    8  11  18  19      1   -0.179605	   8  11  18  19      1   -3.161029
7154 :   10  11   3  16      1    1.900530	  10  11   3  16      1    5.233866
7155 :   10  11   5  16      1    1.195140	  10  11   5  16      1    4.176564
7157 :   10  11   2  17      1   -1.900530	  10  11   2  17      1   -5.233866
7158 :   10  11   4  17      1   -1.195140	  10  11   4  17      1   -4.176564
7160 :   10  11  16  17      1   -0.229030	  10  11  16  17      1   -5.499490
7161 :   10  11   3  18      1   -1.291040	  10  11   3  18      1   -4.272464
7162 :   10  11   5  18      1   -1.247000	  10  11   5  18      1   -2.301092
7163 :   10  11  17  18      1    1.257120	  10  11  17  18      1   -3.456924
7164 :   10  11   2  19      1    1.291040	  10  11   2  19      1    4.272464
7165 :   10  11   4  19      1    1.247000	  10  11   4  19      1    2.301092
7166 :   10  11  16  19      1   -1.257120	  10  11  16  19      1    3.456924
7167 :   10  11  18  19      1    2.139950	  10  11  18  19      1    3.806618
7221 :   12  13  20  21      1   -2.748880	  12  13  20  21      1  -15.829840
7222 :   12  13   7  22      1    1.508030	  12  13   7  22      1    2.069162
7223 :   12  13  21  22      1    2.020830	  12  13  21  22      1    1.457394
7224 :   12  13   6  23      1   -1.508030	  12  13   6  23      1   -2.069162
7225 :   12  13  20  23      1   -2.020830	  12  13  20  23      1   -1.457394
7226 :   12  13  22  23      1   -2.836870	  12  13  22  23      1   -3.238230
7227 :   12  13   7  24      1    1.166580	  12  13   7  24      1    6.489942
7229 :   12  13  23  24      1   -0.673505	  12  13  23  24      1   -0.973443
7230 :   12  13   6  25      1   -1.166580	  12  13   6  25      1   -6.489942
7232 :   12  13  22  25      1    0.673505	  12  13  22  25      1    0.973443
7233 :   12  13  24  25      1   -1.533710	  12  13  24  25      1   -4.379168
7276 :    3  14   6  23      1  -10.950395	   3  14   6  23      1   -1.328990
7282 :    3  14   6  25      1   -0.844314	   3  14   6  25      1   -0.438640
7283 :    3  14   8  25      1    1.338498	   3  14   8  25      1    0.959025
7291 :    3  14   0  27      1   -4.319195	   3  14   0  27      1   -1.032860
7292 :    3  14   6  27      1    1.331827	   3  14   6  27      1    1.711300
7293 :    3  14   8  27      1    1.055262	   3  14   8  27      1    0.296315
7294 :    3  14  10  27      1   -2.930407	   3  14  10  27      1   -0.247125
7325 :   13  14   7  22      1   -0.484250	  13  14   7  22      1   -0.970204
7327 :   13  14   6  23      1   -0.478140	  13  14   6  23      1    0.007814
7328 :   13  14  20  23      1  -13.973136	  13  14  20  23      1   -0.798485
7329 :   13  14  22  23      1    0.812664	  13  14  22  23      1    1.448928
7330 :   13  14   7  24      1   -0.672975	  13  14   7  24      1   -0.263182
7331 :   13  14   9  24      1   -4.886858	  13  14   9  24      1    0.479705
7332 :   13  14  23  24      1   -0.632485	  13  14  23  24      1   -0.372731
7333 :   13  14   6  25      1   -1.267640	  13  14   6  25      1   -1.677433
7335 :   13  14  22  25      1    1.252800	  13  14  22  25      1    0.993046
7336 :   13  14  24  25      1    0.447528	  13  14  24  25      1    0.228485
7343 :   13  14   6  27      1   -4.586953	  13  14   6  27      1    0.779610
7346 :   13  14  24  27      1   -3.555064	  13  14  24  27      1   -0.686515
7375 :    2  15   7  22      1  -10.950395	   2  15   7  22      1   -1.328990
7380 :    2  15   7  24      1   -0.844314	   2  15   7  24      1   -0.438640
7381 :    2  15   9  24      1    1.338498	   2  15   9  24      1    0.959025
7387 :    2  15   1  26      1   -4.319195	   2  15   1  26      1   -1.032860
